v1,v2,v3,v4,v5
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,,,
ham,When/where do I pick you up,,,
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069120",,,
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",,,
ham,We still on for tonight?,,,
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,,,
ham,Oh yeah! And my diet just flew out the window,,,
ham,I will be outside office take all from there,,,
ham,"How about clothes, jewelry, and trips?",,,
ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,,,
ham,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",,,
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,,,
ham,"Nope. Since ayo travelled, he has forgotten his guy",,,
ham,"Sorry, I can't help you on this.",,,
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.,,,
ham,I'll reach in ard 20 mins ok...,,,
ham,How much did ur hdd casing cost.,,,
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",,,
ham,Horrible bf... I now v hungry...,,,
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,,,
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",,,
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,,,
ham,"Посылка пришла на почту, можешь забрать с 9 до 18",,,
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",,,
ham,Its sarcasm.. .nt scarcasim,,,
ham,He remains a bro amongst bros,,,
ham,I have a sore throat. It's scratches when I talk,,,
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,,,
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,,,
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
ham,"Haha figures, well I found the piece and priscilla's bowl",,,
ham,Well. Balls. Time to make calls,,,
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",,,
ham,"I think your mentor is , but not 100 percent sure.",,,
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",,,
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
ham,"I think IÛ÷m waiting for the same bus! Inform me when you get there, if you ever get there.",,,
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",,,
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",,,
ham,Ard 4 lor...,,,
ham,"Sorry, I'll call later",,,
ham,Lol ... I knew that .... I saw him in the dollar store,,,
ham,Very hurting n meaningful lines ever: \I compromised everything for my love,,,
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
ham,I dont thnk its a wrong calling between us,,,
ham,"Sorry, I'll call later In meeting.",,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",,,
ham,Ok both our days. So what are you making for dinner tonite? Am I invited?,,,
ham,Dear how is chechi. Did you talk to her,,,
ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",,,
ham,"Sorry, I'll call later",,,
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,,,
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),,,
ham,Kothi print out marandratha.,,,
spam,Требуются люди для удаленной работы! 200000р в месяц! work-remote.net,,,
ham,Apo all other are mokka players only,,,
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...",,,
ham,No. I dont want to hear anything,,,
ham,Hey i've booked the 2 lessons on sun liao...,,,
ham,"Sorry,in meeting I'll call later",,,
spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,,,
ham,I might go 2 sch. Yar at e salon now v boring.,,,
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,,,
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,,,
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,,,
ham,"Awesome, text me when you're restocked",,,
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,,,
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,,,
ham,I like cheap! But iÛ÷m happy to splash out on the wine if it makes you feel better..,,,
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,,,
ham,Bring it if you got it,,,
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,,,
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,,,
ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,,,
ham,I am late. I will be there at,,,
ham,"Cool, text me when you head out",,,
ham,ÌÏ log off 4 wat. It's sdryb8i,,,
ham,Yup but not studying surfing lor. I'm in e lazy mode today.,,,
ham,Come by our room at some point so we can iron out the plan for this weekend,,,
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,,,
ham,No problem. Talk to you later,,,
ham,One of best dialogue in cute reltnship..!! \Wen i Die,,,
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),,,
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,,,
ham,So i could kiss and feel you next to me...,,,
spam,ЭКСКЛЮЗИВНОЕ предложение! Бизнес под ключ! Окупаемость за месяц! biz-start.com,,,
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,,,
ham,I have lost 10 kilos as of today!,,,
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
ham,I guess it is useless calling u 4 something important.,,,
ham,"K, can that happen tonight?",,,
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,,,
ham,"Found it, ENC  &lt;#&gt; , where you at?",,,
ham,"Спасибо за рекомендацию, обязательно попробую",,,
ham,Okie Ì_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,,,
ham,"I don't think I can get away for a trek that long with family in town, sorry",,,
ham,when you and derek done with class?,,,
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
ham,Wat's my dear doing? Sleeping ah?,,,
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",,,
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,,,
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,,,
ham,I'm stuck in da middle of da row on da right hand side of da lt... ,,,
ham,I dont thnk its a wrong calling between us,,,
ham,yay! finally lol. i missed our cinema trip last week :-(,,,
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
ham,"Coffee cake, i guess...",,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
ham,We left already we at orchard now.,,,
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,,,
ham,"I'm not coming over, do whatever you want",,,
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
ham,Great! I shoot big loads so get ready!,,,
ham,Oh yeah clearly it's my fault,,,
ham,Headin towards busetop,,,
ham,Sent me de webadres for geting salary slip,,,
spam,"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck.",,,
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,,,
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
ham,Did you get any gift? This year i didnt get anything. So bad,,,
ham,Were somewhere on Fredericksburg,,,
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",,,
ham,"And that's fine, I got enough bud to last most of the night at least",,,
ham,"I wake up long ago already... Dunno, what other thing?",,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
ham,"There're some people by mu, I'm at the table by lambda",,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,Rofl betta invest in some  anti aging products,,,
ham,I dont have i shall buy one dear,,,
ham,Send me your id and password,,,
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,,,
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,,,
ham,Ok no prob...,,,
ham,Thank you. do you generally date the brothas?,,,
ham,"That's cool, I'll come by like  &lt;#&gt; ish",,,
ham,"Анализы в норме, врач сказал продолжать лечение",,,
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,,,
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,,,
ham,Are you planning to come chennai?,,,
ham,Lol no. U can trust me.,,,
ham,When can Ì_ come out?,,,
spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,,,
ham,"K I'll head out in a few mins, see you there",,,
ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,,,
spam,Вконтакте: попытка входа с нового устройства. Если это не вы: vk-security.org,,,
ham,"Aight, you close by or still down around alex's place?",,,
ham,So do you have samus shoulders yet,,,
ham,"Hm good morning, headache anyone? :-)",,,
ham,Yup i've finished c Ì_ there...,,,
ham,Wait.i will come out.. &lt;#&gt;  min:),,,
ham,How long does it take to get it.,,,
ham,Happy new year. Hope you are having a good semester,,,
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,,,
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",,,
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,,,
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,,,
ham,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",,,
ham,Good night. Am going to sleep.,,,
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,,,
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,,,
spam,ВЫГОДА! Ремонт квартир под ключ 5000р за всю квартиру! remont-cheap.ru,,,
ham,Hey what are you doing. Y no reply pa..,,,
ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,,,
ham,"Извини что не ответил сразу, был на встрече",,,
ham,So why didnt you holla?,,,
ham,Oh k.k..where did you take test?,,,
ham,Just come home. I don't want u to be miserable,,,
ham,Who's there say hi to our drugdealer,,,
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,,,
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,
ham,Ok.,,,
ham,"Probably, want to pick up more?",,,
ham,How do you plan to manage that,,,
ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,,,
ham,U having lunch alone? I now so bored...,,,
ham,I will come to ur home now,,,
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,,,
ham,Уборка квартиры займет примерно 3 часа,,,
ham,Dont show yourself. How far. Put new pictures up on facebook.,,,
ham,Still i have not checked it da. . .,,,
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,,,
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",,,
ham,No calls..messages..missed calls,,,
ham,I'm home...,,,
ham,"Sorry, I'll call later",,,
ham,(You didn't hear it from me),,,
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
ham,Ok. I only ask abt e movie. U wan ktv oso?,,,
ham,I am sorry it hurt you.,,,
ham,Have you bookedthe hut? And also your time off? How are you by the way?,,,
ham,make that 3! 4 fucks sake?! x,,,
ham,What you need. You have a person to give na.,,,
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
ham,You can never do NOTHING,,,
ham,Ok...,,,
ham,O was not into fps then.,,,
ham,No da. . Vijay going to talk in jaya tv,,,
ham,Thanks chikku..:-) gud nyt:-*,,,
ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,,,
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,,,
ham,"Goodmorning, Today i am late for  &lt;#&gt; min.",,,
ham,Okay but i thought you were the expert,,,
ham,Long beach lor. Expected... U having dinner now?,,,
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),,,
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",,,
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,
ham,HELLO PEACH! MY CAKE TASTS LUSH!,,,
ham,HAPPY NEW YEAR MY NO.1 MAN,,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",,,
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",,,
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,,,
ham,So what do you guys do.,,,
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,,,
ham,Ok lor. I'm in town now lei.,,,
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",,,
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,,,
ham,Okie... Thanx...,,,
ham,"U so lousy, run already come back then half dead... Hee...",,,
ham,What happen dear tell me,,,
ham,Takin a shower now but yeah I'll leave when I'm done,,,
ham,"Maybe westshore or hyde park village, the place near my house?",,,
ham,I dled 3d its very imp,,,
ham,Pls confirm the time to collect the cheque.,,,
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,
ham,I told that am coming on wednesday.,,,
ham,No:-)i got rumour that you going to buy apartment in chennai:-),,,
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,,,
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",,,
ham,Was the actual exam harder than NBME,,,
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",,,
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,,,
ham,K..k.:)congratulation ..,,,
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",,,
ham,I dont have that much image in class.,,,
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,,,
ham,"I av a new number,  . Wil u only use this one,ta.",,,
ham,Hey morning what you come to ask:-) pa...,,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",,,
ham,What does the dance river do?,,,
ham,U coming 2 pick me?,,,
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,,,
ham,I dont thnk its a wrong calling between us,,,
ham,Thanx 4 e brownie it's v nice...,,,
ham,"Завтра в 10 утра встречаемся у метро, не опаздывай",,,
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,,,
ham,Dear i am not denying your words please,,,
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",,,
ham,", how's things? Just a quick question.",,,
ham,"Sorry, I'll call later",,,
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",,,
ham,Good Morning plz call me sir,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,"Looks like you found something to do other than smoke, great job!",,,
ham,Подписка продлена автоматически до конца года,,,
ham,Watching tv now. I got new job :),,,
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",,,
ham,Serious? What like proper tongued her,,,
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",,,
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,,,
ham,They just talking thats it de. They wont any other.,,,
ham,Ok... Thanx... Gd nite 2 Ì_ too...,,,
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",,,
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,,,
ham,Short But Cute: \Be a good person,,,
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
ham,What's a feathery bowa? Is that something guys have that I don't know about?,,,
ham,"Nothing really, just making sure everybody's up to speed",,,
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50",,,
ham,"Sorry, I'll call later",,,
ham,You all ready for * big day tomorrow?,,,
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,,,
ham,Have you seen who's back at Holby?!,,,
ham,Actually i'm waiting for 2 weeks when they start putting ad.,,,
ham,Just taste fish curry :-P,,,
ham,"Just dropped em off, omw back now",,,
ham,Tomarrow final hearing on my laptop case so i cant.,,,
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",,,
ham,Package all your programs well,,,
ham,Tell me pa. How is pain de.,,,
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
ham,How come i din c Ì_... Yup i cut my hair...,,,
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,,,
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
